"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2022","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5"
"2019","RPA","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5"
"2021","RPA","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5"
"2021","RPA","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5"
"2019","RPA","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","35 and over","England","Female","Not main scheme applicant","Not main scheme application","10"
"2021","RPA","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5"
"2019","Direct Clearing","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2020","Direct Clearing","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","15"
"2021","Direct Clearing","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2022","Direct Clearing","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2021","RPA","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2019","Direct Clearing","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","15"
"2020","Direct Clearing","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","20"
"2021","Direct Clearing","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2023","Direct Clearing","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2023","RPA","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2019","Direct Clearing","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2020","Direct Clearing","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2019","Direct Clearing","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2020","Direct Clearing","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2021","Direct Clearing","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2022","Direct Clearing","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2023","Direct Clearing","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2021","RPA","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","15"
"2023","Direct Clearing","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","25"
"2022","RPA","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","10"
"2022","Direct Clearing","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","10"
"2023","Direct Clearing","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","10"
"2023","Direct Clearing","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","5"
"2019","Direct Clearing","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2020","Direct Clearing","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","10"
"2021","Direct Clearing","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","10"
"2023","Direct Clearing","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2019","Direct Clearing","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","10"
"2020","Direct Clearing","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","20"
